,State_code,District_code,Area_name,Age_grp,T_P,T_M,T_F,R_P,R_M,R_F,U_P,U_M,U_F
252,13,000,State - NAGALAND (13),20-24,204363,103769,100594,139581,70944,68637,64782,32825,31957
253,13,000,State - NAGALAND (13),25-29,176901,89598,87303,117131,58588,58543,59770,31010,28760
723,13,000,State - NAGALAND (13),30-49,475130,246610,228520,325036,165704,159332,150094,80906,69188
249,13,000,State - NAGALAND (13),5-9,233099,120647,112452,173624,90120,83504,59475,30527,28948
724,13,000,State - NAGALAND (13),50-69,170019,92359,77660,126409,67102,59307,43610,25257,18353
725,13,000,State - NAGALAND (13),70+,41964,22295,19669,34145,18284,15861,7819,4011,3808
265,13,000,State - NAGALAND (13),Age not stated,1471,849,622,1274,732,542,197,117,80
247,13,000,State - NAGALAND (13),All ages,1978502,1024649,953853,1407536,725472,682064,570966,299177,271789
267,14,000,State - MANIPUR (14),0-4,256682,133160,123522,186405,97094,89311,70277,36066,34211
269,14,000,State - MANIPUR (14),10-14,313763,161146,152617,230842,119214,111628,82921,41932,40989
270,14,000,State - MANIPUR (14),15-19,287008,144495,142513,213039,107906,105133,73969,36589,37380
271,14,000,State - MANIPUR (14),20-24,281782,139587,142195,204739,102223,102516,77043,37364,39679
272,14,000,State - MANIPUR (14),25-29,270477,132888,137589,188887,93626,95261,81590,39262,42328
726,14,000,State - MANIPUR (14),30-49,737266,367510,369756,504855,253884,250971,232411,113626,118785
268,14,000,State - MANIPUR (14),5-9,291243,149766,141477,215420,111112,104308,75823,38654,37169
727,14,000,State - MANIPUR (14),50-69,328321,165792,162529,219415,112212,107203,108906,53580,55326
728,14,000,State - MANIPUR (14),70+,81475,40010,41465,52386,26470,25916,29089,13540,15549
284,14,000,State - MANIPUR (14),Age not stated,7777,4232,3545,5652,3143,2509,2125,1089,1036
266,14,000,State - MANIPUR (14),All ages,2855794,1438586,1417208,2021640,1026884,994756,834154,411702,422452
286,15,000,State - MIZORAM (15),0-4,121233,61541,59692,66972,34077,32895,54261,27464,26797
288,15,000,State - MIZORAM (15),10-14,116981,59526,57455,60088,30836,29252,56893,28690,28203
289,15,000,State - MIZORAM (15),15-19,110343,55907,54436,50257,26000,24257,60086,29907,30179
