,State_Code,District_code,Area_name,Type,Age_grp,Total_Person,Total_Male,Total_Female,Illiterate_Person,Illiterate_Male,Illiterate_Female,Literate_Person,Literate_Male,Literate_Female,Literate but below primary_Person,Literate but below primary_Male,Literate but below primary_Female,Primary but below middle_Person,Primary but below middle_Male,Primary but below middle_Female,Middle but below matric/secondary_Person,Middle but below matric/secondary_Male,Middle but below matric/secondary_Female,Matric/Secondary but below graduate_Person,Matric/Secondary but below graduate_Male,Matric/Secondary but below graduate_Female,Graduate and above_Person,Graduate and above_Male,Graduate and above_Female
82,00,000,INDIA,Urban,35-39,29077977,14793820,14284157,5183117,1780066,3403051,23894860,13013754,10881106,1343908,627330,716578,3839280,1823007,2016273,3561717,1926064,1635653,8167512,4736850,3430662,5608483,3200255,2408228
83,00,000,INDIA,Urban,40-44,24857104,12980151,11876953,5017286,1786765,3230521,19839818,11193386,8646432,1318969,635603,683366,3345896,1627552,1718344,2915286,1624795,1290491,6627690,3982581,2645109,4475580,2720619,1754961
84,00,000,INDIA,Urban,45-49,21630099,11273844,10356255,4766700,1644550,3122150,16863399,9629294,7234105,1317025,633684,683341,3072872,1501995,1570877,2430052,1367092,1062960,5415333,3293478,2121855,3627927,2318250,1309677
85,00,000,INDIA,Urban,50-54,17037466,9053719,7983747,3914378,1355880,2558498,13123088,7697839,5425249,1100887,533893,566994,2410270,1203349,1206921,1797894,1034711,763183,4193781,2621739,1572042,2833283,1891278,942005
86,00,000,INDIA,Urban,55-59,13284541,6919483,6365058,3196162,966012,2230150,10088379,5953471,4134908,902873,416000,486873,1862946,900394,962552,1294068,734166,559902,3199909,2042284,1157625,2211929,1545053,666876
87,00,000,INDIA,Urban,60-64,11372462,5770157,5602305,3471588,1072302,2399286,7900874,4697855,3203019,869133,403287,465846,1618364,793391,824973,989401,561385,428016,2374710,1568244,806466,1516210,1102153,414057
88,00,000,INDIA,Urban,65-69,7538713,3736015,3802698,2497057,726250,1770807,5041656,3009765,2031891,677976,309003,368973,1075257,525750,549507,610263,349710,260553,1476400,1011160,465240,838922,634972,203950
89,00,000,INDIA,Urban,70-74,5401242,2673320,2727922,2025429,611223,1414206,3375813,2062097,1313716,522708,247908,274800,759742,390388,369354,385611,227988,157623,918668,655777,262891,522505,408293,114212
90,00,000,INDIA,Urban,75-79,2848786,1377179,1471607,1007808,280809,726999,1840978,1096370,744608,322940,146765,176175,421197,205917,215280,203499,115867,87632,477088,342713,134375,268925,215304,53621
91,00,000,INDIA,Urban,80+,3394015,1517899,1876116,1401307,384958,1016349,1992708,1132941,859767,365834,164914,200920,467655,235123,232532,234012,133336,100676,472846,323409,149437,264140,190574,73566
92,00,000,INDIA,Urban,Age not stated,1576350,839461,736889,407570,177669,229901,1168780,661792,506988,131896,69475,62421,165508,84300,81208,123264,69005,54259,282866,162355,120511,191007,108733,82274
93,01,000,State - JAMMU & KASHMIR,Total,All ages,12541302,6640662,5900640,5474069,2375991,3098078,7067233,4264671,2802562,987774,541130,446644,1285909,719512,566397,1666381,1015129,651252,2244013,1443868,800145,653764,401279,252485
94,01,000,State - JAMMU & KASHMIR,Total,0-6,2018905,1084355,934550,2018905,1084355,934550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,01,000,State - JAMMU & KASHMIR,Total,7,270538,142123,128415,91361,45646,45715,179177,96477,82700,173571,93095,80476,0,0,0,0,0,0,0,0,0,0,0,0
96,01,000,State - JAMMU & KASHMIR,Total,8,285314,150470,134844,59762,28675,31087,225552,121795,103757,221202,119170,102032,0,0,0,0,0,0,0,0,0,0,0,0
97,01,000,State - JAMMU & KASHMIR,Total,9,252100,133371,118729,38753,18136,20617,213347,115235,98112,184326,99450,84876,25468,13603,11865,0,0,0,0,0,0,0,0,0
98,01,000,State - JAMMU & KASHMIR,Total,10,314283,166773,147510,52112,24445,27667,262171,142328,119843,169454,92110,77344,88107,47399,40708,0,0,0,0,0,0,0,0,0
99,01,000,State - JAMMU & KASHMIR,Total,11,282049,149261,132788,34140,15096,19044,247909,134165,113744,79047,43037,36010,165167,88841,76326,0,0,0,0,0,0,0,0,0
100,01,000,State - JAMMU & KASHMIR,Total,12,289798,152365,137433,32002,12876,19126,257796,139489,118307,31534,16983,14551,192027,103528,88499,30766,16845,13921,0,0,0,0,0,0
101,01,000,State - JAMMU & KASHMIR,Total,13,261079,136728,124351,25759,9823,15936,235320,126905,108415,12837,6704,6133,146946,79387,67559,72616,39019,33597,0,0,0,0,0,0
102,01,000,State - JAMMU & KASHMIR,Total,14,266644,139728,126916,26780,9706,17074,239864,130022,109842,6841,3535,3306,83818,45704,38114,146258,79052,67206,0,0,0,0,0,0
103,01,000,State - JAMMU & KASHMIR,Total,15,270992,140502,130490,32536,11447,21089,238456,129055,109401,4942,2539,2403,43164,23142,20022,130422,70604,59818,56930,31024,25906,0,0,0
104,01,000,State - JAMMU & KASHMIR,Total,16,263041,136077,126964,32564,10834,21730,230477,125243,105234,4149,2101,2048,25663,13555,12108,93754,51073,42681,104062,56842,47220,0,0,0
105,01,000,State - JAMMU & KASHMIR,Total,17,221619,115421,106198,26748,8943,17805,194871,106478,88393,3164,1622,1542,16673,9070,7603,57410,31379,26031,115097,62951,52146,0,0,0
106,01,000,State - JAMMU & KASHMIR,Total,18,276216,141830,134386,44924,14734,30190,231292,127096,104196,4220,2177,2043,20154,10823,9331,58666,31782,26884,144458,80187,64271,0,0,0
107,01,000,State - JAMMU & KASHMIR,Total,19,205594,106532,99062,30530,9453,21077,175064,97079,77985,3162,1734,1428,13388,7354,6034,38861,21167,17694,116715,65138,51577,0,0,0
108,01,000,State - JAMMU & KASHMIR,Total,20-24,1160913,603578,557335,236770,74478,162292,924143,529100,395043,15724,8899,6825,79859,43425,36434,206526,114635,91891,463429,275540,187889,135825,73058,62767
109,01,000,State - JAMMU & KASHMIR,Total,25-29,1086122,584559,501563,288543,91443,197100,797579,493116,304463,11823,7002,4821,67557,37803,29754,194441,115669,78772,339633,226694,112939,150764,84212,66552
110,01,000,State - JAMMU & KASHMIR,Total,30-34,926903,495746,431157,306329,99864,206465,620574,395882,224692,11187,6783,4404,64090,36297,27793,167763,107496,60267,251821,169906,81915,98874,58000,40874
111,01,000,State - JAMMU & KASHMIR,Total,35-39,837945,441265,396680,334354,111560,222794,503591,329705,173886,10099,6230,3869,58909,33521,25388,140361,93308,47053,198632,136348,62284,73477,46303,27174
112,01,000,State - JAMMU & KASHMIR,Total,40-44,714085,387739,326346,329222,121203,208019,384863,266536,118327,8815,5692,3123,47421,28149,19272,102847,72814,30033,150036,109445,40591,57241,38268,18973
113,01,000,State - JAMMU & KASHMIR,Total,45-49,590790,311560,279230,302284,110010,192274,288506,201550,86956,7421,4973,2448,41419,25326,16093,77800,57034,20766,102409,74286,28123,45192,30950,14242
114,01,000,State - JAMMU & KASHMIR,Total,50-54,468566,255599,212967,258639,103650,154989,209927,151949,57978,5839,4145,1694,31394,20402,10992,56574,43160,13414,73831,54965,18866,31610,22526,9084
115,01,000,State - JAMMU & KASHMIR,Total,55-59,340031,172753,167278,198533,69481,129052,141498,103272,38226,4192,2850,1342,20914,13423,7491,33754,25583,8171,50892,38835,12057,24270,18154,6116
116,01,000,State - JAMMU & KASHMIR,Total,60-64,322726,173427,149299,215827,91666,124161,106899,81761,25138,4337,3159,1178,19574,13654,5920,24371,19086,5285,34621,27888,6733,16938,13622,3316
117,01,000,State - JAMMU & KASHMIR,Total,65-69,203965,102743,101222,143660,56652,87008,60305,46091,14214,2916,2076,840,11918,8437,3481,13447,10303,3144,18069,14785,3284,9206,7705,1501
118,01,000,State - JAMMU & KASHMIR,Total,70-74,184019,97472,86547,143086,65465,77621,40933,32007,8926,2802,2078,724,9699,7372,2327,8693,6903,1790,10130,8580,1550,5128,4451,677
119,01,000,State - JAMMU & KASHMIR,Total,75-79,85076,43094,41982,65613,28154,37459,19463,14940,4523,1452,1072,380,5001,3722,1279,4164,3208,956,4488,3854,634,2024,1767,257
120,01,000,State - JAMMU & KASHMIR,Total,80+,126870,65844,61026,99121,45534,53587,27749,20310,7439,2010,1511,499,6691,5092,1599,5815,4336,1479,6973,5401,1572,2626,1911,715
121,01,000,State - JAMMU & KASHMIR,Total,Age not stated,15119,9747,5372,5212,2662,2550,9907,7085,2822,708,403,305,888,483,405,1072,673,399,1787,1199,588,589,352,237
