Player_id,avg_kills,total_kills,lowest_death_avg,highest_assists_avg,total_assists,total_last_hits,most_last_hit_avg,total_gpm,highest_gpm_avg
101356886,3.4583333333333335,83,7.291666666666667,18.666666666666668,448,1235,51.458333333333336,7087,295.2916666666667
73562326,3.1666666666666665,76,7.25,14.041666666666666,337,1225,51.041666666666664,6543,272.625
94155156,3.1481481481481484,85,7.518518518518518,18.22222222222222,492,1855,68.70370370370371,8576,317.6296296296296
47434686,2.9545454545454546,65,6.409090909090909,15.772727272727273,347,1052,47.81818181818182,6351,288.6818181818182
113800818,2.9,58,7.35,10.5,210,758,37.9,4667,233.35
94296097,2.8666666666666667,86,7.066666666666666,14.7,441,1628,54.266666666666666,8558,285.26666666666665
89423756,2.85,57,4.85,12.8,256,1634,81.7,5878,293.9
114239371,2.823529411764706,48,9.235294117647058,14.058823529411764,239,791,46.529411764705884,4234,249.05882352941177
84853828,2.8125,45,9.1875,13.1875,211,945,59.0625,4494,280.875
82262664,2.7916666666666665,67,6.916666666666667,16.166666666666668,388,1422,59.25,7301,304.2083333333333
116525052,2.75,44,9.125,11.5625,185,616,38.5,4142,258.875
134556694,2.68,67,7.68,18.64,466,1350,54.0,6909,276.36
82327674,2.4210526315789473,46,7.631578947368421,15.052631578947368,286,1250,65.78947368421052,5245,276.05263157894734
87278757,2.3846153846153846,62,7.3076923076923075,16.653846153846153,433,1856,71.38461538461539,7532,289.6923076923077
91443418,2.263157894736842,43,7.842105263157895,14.31578947368421,272,982,51.68421052631579,4993,262.7894736842105
155494381,2.235294117647059,38,7.0,12.352941176470589,210,1059,62.294117647058826,4920,289.4117647058824
140153524,2.2222222222222223,40,7.333333333333333,13.61111111111111,245,1421,78.94444444444444,5278,293.22222222222223
117731777,2.210526315789474,42,6.2631578947368425,11.263157894736842,214,595,31.31578947368421,4547,239.31578947368422
6922000,2.0,34,7.647058823529412,11.588235294117647,197,1127,66.29411764705883,4882,287.1764705882353
184950344,1.8235294117647058,31,9.117647058823529,12.882352941176471,219,1305,76.76470588235294,4829,284.05882352941177
91064780,1.8095238095238095,38,9.142857142857142,12.095238095238095,254,732,34.857142857142854,5035,239.76190476190476
93552791,1.7619047619047619,37,6.857142857142857,11.619047619047619,244,1411,67.19047619047619,5788,275.6190476190476
86727555,1.7083333333333333,41,8.541666666666666,12.041666666666666,289,846,35.25,5812,242.16666666666666
