match_id,result,Ban_T1_1,Ban_T1_2,Ban_T1_3,Ban_T1_4,Ban_T1_5,Ban_T1_6,Ban_T2_1,Ban_T2_2,Ban_T2_3,Ban_T2_4,Ban_T2_5,Ban_T2_6,Pick_T1_1,Pick_T1_2,Pick_T1_3,Pick_T1_4,Pick_T1_5,Pick_T2_1,Pick_T2_2,Pick_T2_3,Pick_T2_4,Pick_T2_5
4978988612.0,Dire,103.0,38.0,82.0,72.0,76.0,8.0,68.0,16.0,73.0,18.0,54.0,106.0,79.0,9.0,23.0,42.0,65.0,66.0,29.0,100.0,46.0,95.0
4979109318.0,Radiant,68.0,66.0,73.0,18.0,23.0,41.0,103.0,82.0,38.0,46.0,33.0,94.0,79.0,52.0,86.0,108.0,1.0,29.0,9.0,111.0,43.0,99.0
4980079753.0,Dire,58.0,73.0,61.0,54.0,79.0,19.0,72.0,9.0,38.0,104.0,57.0,1.0,52.0,103.0,2.0,27.0,18.0,97.0,88.0,111.0,42.0,114.0
4980123889.0,Dire,38.0,9.0,72.0,98.0,19.0,1.0,58.0,97.0,73.0,61.0,79.0,59.0,23.0,88.0,111.0,78.0,8.0,103.0,57.0,21.0,76.0,54.0
4980183695.0,Dire,97.0,73.0,58.0,19.0,61.0,76.0,38.0,57.0,9.0,25.0,1.0,15.0,29.0,74.0,103.0,54.0,23.0,68.0,42.0,52.0,107.0,93.0
4980260521.0,Dire,66.0,23.0,58.0,89.0,61.0,93.0,79.0,84.0,103.0,68.0,34.0,35.0,9.0,42.0,30.0,57.0,73.0,86.0,29.0,5.0,92.0,82.0
4980333085.0,Radiant,66.0,23.0,9.0,89.0,10.0,106.0,79.0,73.0,103.0,42.0,3.0,43.0,58.0,19.0,30.0,41.0,25.0,84.0,86.0,97.0,44.0,17.0
4980430921.0,Dire,66.0,23.0,89.0,61.0,65.0,74.0,58.0,79.0,9.0,33.0,76.0,73.0,84.0,42.0,68.0,27.0,43.0,19.0,57.0,103.0,41.0,86.0
4981755910.0,Dire,66.0,79.0,58.0,41.0,93.0,53.0,52.0,73.0,84.0,27.0,76.0,10.0,102.0,106.0,9.0,96.0,54.0,103.0,19.0,91.0,72.0,60.0
4981810133.0,Radiant,73.0,52.0,103.0,106.0,41.0,18.0,66.0,91.0,79.0,46.0,45.0,61.0,68.0,16.0,19.0,86.0,113.0,58.0,27.0,3.0,76.0,72.0
4981912277.0,Dire,86.0,57.0,96.0,103.0,38.0,52.0,58.0,73.0,42.0,44.0,23.0,46.0,97.0,27.0,75.0,12.0,32.0,19.0,41.0,79.0,9.0,7.0
4982005618.0,Radiant,73.0,42.0,97.0,89.0,9.0,76.0,86.0,57.0,58.0,68.0,103.0,25.0,19.0,41.0,30.0,33.0,102.0,79.0,29.0,69.0,54.0,17.0
4982103916.0,Radiant,103.0,58.0,52.0,18.0,73.0,57.0,91.0,19.0,66.0,46.0,98.0,76.0,9.0,84.0,29.0,41.0,34.0,79.0,23.0,25.0,54.0,96.0
