,i,j
479,DL_North Delhi,HR_Sonipat
480,DL_North Delhi,UP_Baghpat
481,DL_North Delhi,UP_Ghaziabad
482,DL_North East Delhi,DL_Shahdara
483,DL_North East Delhi,UP_Ghaziabad
484,DL_North West Delhi,DL_West Delhi
485,DL_North West Delhi,HR_Jhajjar
486,DL_North West Delhi,HR_Sonipat
487,DL_Shahdara,UP_Ghaziabad
488,DL_South Delhi,DL_South East Delhi
489,DL_South Delhi,HR_Faridabad
490,DL_South Delhi,HR_Gurugram
491,DL_South East Delhi,HR_Faridabad
492,DL_South East Delhi,UP_Gautam Buddha Nagar
493,DL_South West Delhi,DL_West Delhi
494,DL_South West Delhi,HR_Gurugram
495,DL_South West Delhi,HR_Jhajjar
496,DL_West Delhi,HR_Jhajjar
497,DN_Dadra and Nagar Haveli,GJ_Valsad
498,DN_Dadra and Nagar Haveli,MH_Palghar
499,DN_Daman,GJ_Valsad
500,DN_Diu,GJ_Gir Somnath
501,GA_North Goa,GA_South Goa
502,GA_North Goa,KA_Belagavi
503,GA_North Goa,KA_Uttara Kannada
504,GA_North Goa,MH_Sindhudurg
505,GA_South Goa,KA_Uttara Kannada
506,GJ_Ahmedabad,GJ_Anand
507,GJ_Ahmedabad,GJ_Bhavnagar
508,GJ_Ahmedabad,GJ_Botad
509,GJ_Ahmedabad,GJ_Gandhinagar
510,GJ_Ahmedabad,GJ_Kheda
511,GJ_Ahmedabad,GJ_Mehsana
512,GJ_Ahmedabad,GJ_Surendranagar
513,GJ_Amreli,GJ_Bhavnagar
514,GJ_Amreli,GJ_Botad
515,GJ_Amreli,GJ_Gir Somnath
516,GJ_Amreli,GJ_Junagadh
517,GJ_Amreli,GJ_Rajkot
518,GJ_Anand,GJ_Bharuch
519,GJ_Anand,GJ_Kheda
520,GJ_Anand,GJ_Vadodara
521,GJ_Aravalli,GJ_Gandhinagar
522,GJ_Aravalli,GJ_Kheda
523,GJ_Aravalli,GJ_Mahisagar
524,GJ_Aravalli,GJ_Sabarkantha
525,GJ_Aravalli,RJ_Dungarpur
526,GJ_Aravalli,RJ_Udaipur
527,GJ_Banaskantha,GJ_Kutch
528,GJ_Banaskantha,GJ_Mehsana
529,GJ_Banaskantha,GJ_Patan
530,GJ_Banaskantha,GJ_Sabarkantha
531,GJ_Banaskantha,RJ_Jalore
532,GJ_Banaskantha,RJ_Sirohi
533,GJ_Bharuch,GJ_Narmada
534,GJ_Bharuch,GJ_Surat
535,GJ_Bharuch,GJ_Vadodara
536,GJ_Bhavnagar,GJ_Botad
537,GJ_Botad,GJ_Rajkot
538,GJ_Botad,GJ_Surendranagar
539,GJ_Chhota Udaipur,GJ_Dahod
540,GJ_Chhota Udaipur,GJ_Narmada
541,GJ_Chhota Udaipur,GJ_Panchmahal
542,GJ_Chhota Udaipur,GJ_Vadodara
543,GJ_Chhota Udaipur,MH_Nandurbar
544,GJ_Chhota Udaipur,MP_Alirajpur
545,GJ_Dahod,GJ_Mahisagar
546,GJ_Dahod,GJ_Panchmahal
547,GJ_Dahod,MP_Alirajpur
548,GJ_Dahod,MP_Jhabua
549,GJ_Dahod,RJ_Banswara
550,GJ_Dang,GJ_Navsari
551,GJ_Dang,GJ_Tapi
552,GJ_Dang,MH_Dhule
553,GJ_Dang,MH_Nashik
554,GJ_Devbhumi Dwarka,GJ_Jamnagar
555,GJ_Devbhumi Dwarka,GJ_Porbandar
556,GJ_Gandhinagar,GJ_Kheda
557,GJ_Gandhinagar,GJ_Mehsana
558,GJ_Gandhinagar,GJ_Sabarkantha
559,GJ_Gir Somnath,GJ_Junagadh
560,GJ_Jamnagar,GJ_Morbi
561,GJ_Jamnagar,GJ_Porbandar
562,GJ_Jamnagar,GJ_Rajkot
563,GJ_Junagadh,GJ_Porbandar
564,GJ_Junagadh,GJ_Rajkot
565,GJ_Kheda,GJ_Mahisagar
566,GJ_Kheda,GJ_Panchmahal
567,GJ_Kheda,GJ_Vadodara
568,GJ_Kutch,GJ_Morbi
569,GJ_Kutch,GJ_Patan
570,GJ_Kutch,GJ_Surendranagar
571,GJ_Kutch,RJ_Barmer
572,GJ_Kutch,RJ_Jalore
573,GJ_Mahisagar,GJ_Panchmahal
574,GJ_Mahisagar,RJ_Banswara
575,GJ_Mahisagar,RJ_Dungarpur
576,GJ_Mehsana,GJ_Patan
577,GJ_Mehsana,GJ_Sabarkantha
578,GJ_Mehsana,GJ_Surendranagar
579,GJ_Morbi,GJ_Rajkot
580,GJ_Morbi,GJ_Surendranagar
581,GJ_Narmada,GJ_Surat
582,GJ_Narmada,GJ_Tapi
583,GJ_Narmada,GJ_Vadodara
584,GJ_Narmada,MH_Nandurbar
585,GJ_Navsari,GJ_Surat
586,GJ_Navsari,GJ_Tapi
587,GJ_Navsari,GJ_Valsad
588,GJ_Navsari,MH_Nashik
589,GJ_Panchmahal,GJ_Vadodara
590,GJ_Patan,GJ_Surendranagar
591,GJ_Porbandar,GJ_Rajkot
592,GJ_Rajkot,GJ_Surendranagar
593,GJ_Sabarkantha,RJ_Sirohi
594,GJ_Sabarkantha,RJ_Udaipur
595,GJ_Surat,GJ_Tapi
596,GJ_Tapi,MH_Dhule
597,GJ_Tapi,MH_Nandurbar
598,GJ_Valsad,MH_Nashik
599,GJ_Valsad,MH_Palghar
600,HP_Bilaspur,HP_Hamirpur
601,HP_Bilaspur,HP_Mandi
602,HP_Bilaspur,HP_Solan
603,HP_Bilaspur,HP_Una
604,HP_Bilaspur,PB_Rupnagar
605,HP_Chamba,HP_Kangra
606,HP_Chamba,HP_Lahaul and Spiti
607,HP_Chamba,JK_Doda
608,HP_Chamba,JK_Kathua
609,HP_Chamba,JK_Kishtwar
610,HP_Chamba,PB_Pathankot
611,HP_Hamirpur,HP_Kangra
612,HP_Hamirpur,HP_Mandi
613,HP_Hamirpur,HP_Una
614,HP_Kangra,HP_Kullu
615,HP_Kangra,HP_Lahaul and Spiti
616,HP_Kangra,HP_Mandi
617,HP_Kangra,HP_Una
618,HP_Kangra,PB_Gurdaspur
619,HP_Kangra,PB_Hoshiarpur
620,HP_Kangra,PB_Pathankot
621,HP_Kinnaur,HP_Kullu
622,HP_Kinnaur,HP_Lahaul and Spiti
623,HP_Kinnaur,HP_Shimla
624,HP_Kinnaur,UT_Uttarkashi
625,HP_Kullu,HP_Lahaul and Spiti
626,HP_Kullu,HP_Mandi
627,HP_Kullu,HP_Shimla
628,HP_Lahaul and Spiti,JK_Kishtwar
629,HP_Lahaul and Spiti,LA_Kargil
630,HP_Lahaul and Spiti,LA_Leh
631,HP_Mandi,HP_Shimla
632,HP_Mandi,HP_Solan
633,HP_Shimla,HP_Sirmaur
634,HP_Shimla,HP_Solan
635,HP_Shimla,UT_Dehradun
636,HP_Shimla,UT_Uttarkashi
637,HP_Sirmaur,HP_Solan
638,HP_Sirmaur,HR_Ambala
639,HP_Sirmaur,HR_Panchkula
640,HP_Sirmaur,HR_Yamunanagar
641,HP_Sirmaur,UP_Saharanpur
642,HP_Sirmaur,UT_Dehradun
643,HP_Solan,HR_Panchkula
644,HP_Solan,PB_Rupnagar
645,HP_Solan,PB_S.A.S. Nagar
646,HP_Una,PB_Hoshiarpur
647,HP_Una,PB_Rupnagar
648,HR_Ambala,HR_Kurukshetra
649,HR_Ambala,HR_Panchkula
650,HR_Ambala,HR_Yamunanagar
651,HR_Ambala,PB_Patiala
652,HR_Ambala,PB_S.A.S. Nagar
653,HR_Bhiwani,HR_Charkhi Dadri
654,HR_Bhiwani,HR_Hisar
655,HR_Bhiwani,HR_Mahendragarh
656,HR_Bhiwani,HR_Rohtak
657,HR_Bhiwani,RJ_Churu
658,HR_Bhiwani,RJ_Hanumangarh
